Timestamp;Name the one aspect that you want to improve the most about your health or well-being.;Why do you want to improve it?;In your case, what can you try to improve it?;How would you assess if this improves the aspect you named?;What is your gender?;Which country do you live in?;How old are you?;
11.6.2020 10:37:35;Nutrition;Loose weight and feel/be more healthy;Buy more fruits and vegetables instead of processed food and have it readily available and drink more water.;Weight measurement and I should probably journal about how healthy I feel but I am too lazy. Also, blood measurements could help, but that probably is out of scope.;Female;Germany;26;
11.6.2020 10:39:11;Physical Fitness;General Well-Being;Sports;Smartphone apps for training (specific exercises), and overall fitness tracking (e.g., Samsung Health);Male;Germany;30;
11.6.2020 10:39:18;Problems along the menstrual cycle;Because it negatively impacts 1/4 to 1/2 of your fertile life time!;Knowing about the phases i.e. by tracking with a smart phone app is nice, but at the point it hits you there is only minor relief through pain killers or tea...;symptom tracking;Female;Germany;30;
11.6.2020 10:39:28;Nutrition;I feel we don't eat healthy enough and we also don't know what is actually the best diet for us.;Changing the quantities and types of food I eat? Learning more about good nutrition.;That is hard, I guess it takes time, but I would say: sleep patterns, blood tests, more or less tiredness, weight loss, blood pressure measurements, etc.;Female;Germany;33;
11.6.2020 10:46:09;mental health / being happy and satisfied with where you're at;Because it's one of the most important factors to live a happy life.;Empirical evidence seems uncertain. Positive psychology? Meditation/mindfulness? But most studies are either inconclusive or look rather sketchy. ;"pretty hard; self-reported happiness measures, number of times per day you worry/think about something you shouldn't,  ... but all those have some flaws";Male;Germany;30;
11.6.2020 10:49:18;Emotional wellbeing;To have less anxiety and more confidence;focusing and acknowledging little successes;Scale of being worried about the future, sleeping problems;Female;Germany;30;
11.6.2020 10:55:54;Weight loss;Gained to much weight;improve eating habits, be more active, work on motivation to change habits;App-bassed assessment, sensors;Female;Germany;32;
11.6.2020 11:52:28;Motivation for Sports;To feel more comfortable in everyday life i.e. office job;Practice Sports with others;By feeling physically stronger, in better mood, less back pain;Female;Germany;26;
11.6.2020 12:02:44;Sleep cycle;Often tired, inefficient;Inform, adapt;Getting more done, being more awake;Male;Germany;21;
11.6.2020 12:40:20;Body fat percentage;Because of high blood pressure;"Increase physical activity which is equal to increase calorie usage; while decrease bad calorie intake";Daily assessment if #calorie intake < #calorie usage (not use weighting scale, because water and muscle percentage will change);Female;Germany;28;
11.6.2020 12:40:20;Iron levels;They are really low;Consuming iron rich foods, taking iron supplements, adding vitamin C to my diet;Blood test for iron levels;Female;Germany;24;
11.6.2020 12:46:49;Weight ;I'm overweight ;Exercise or diet;I'll lose weight ;Male;Germany;25;
11.6.2020 13:01:00;Lose weight;Healthier living;Do more sports, engage in intermittent fasting, e.g., 18-6 regimen;By recording weights in an app;Male;Germany;35;
11.6.2020 13:10:27;Weight/fitness ;To stay fit & to avoid health problems related to over weight ;"Exercise 
Clean & Healthy Eating habits 
Staying Active 
Drinking lots of water 
Better Sleep Routine ";"By checking BMI
by physical appearance  
By my increase stamina ";Female;Pakistan ;25;
11.6.2020 13:14:11;fitness;better overall health;subscribe to online course, joint team/sports club;better overall feeling, more endurance, loss of weigth and gain of muscles;Female;Germany;36;
11.6.2020 13:17:53;Poor immune system;I catch colds super frequently ;More excercise, dress adequate to the weather, smoke less;I would have to note/measure how often I don't feel well now, and then compare it next year after the changes;Male;Germany;28;
11.6.2020 13:24:43;Mental health;Not stable;Meditation;Books internet;Female;Pakistan ;25;
11.6.2020 13:26:32;Being more active outside of work;Because I feel generally tired more often than not;Getting a better schedule or daily 'rythm';I think I would be able to feel more energized;Male;Germany;31;
11.6.2020 13:38:05;Strength/weight and stamina;I get tired easily. This will help in that. I will be able to fulfill all my daily responsibilities without exhaustion.;Exercise routine, eat more protein and carbohydrates, take supplements;Weight gain, feeling less tired, less back ache than before;Female;Pakistan ;23;
11.6.2020 13:50:26;Stress;It tends to affect people physically and mentally, and enough going on in the world to cause many to feel stress and not know how to personally manage it ;Exercise, therapy, meditation, social support, diet, ...;Outside of self-reported behavioral outcomes (through validated survey, for example), I’m not sure how to measure this. Maybe also measuring BP? ;Female;US;27;
11.6.2020 13:55:16;Fat ratio ;To live longer and healthier ;Light exercise ;Good;Male;Pakistan ;24;
11.6.2020 14:56:37;Deit;affecting my life style;sports, maybe regular cardio;BMI;Male;Germany;27;
11.6.2020 14:58:15;I am obese.;I don't think it's good for your knees and other joints to be obese.;Eat less and exercise more.;Measurable weight loss.;Male;Germany;21;
