Timestamp;country;age;gender;technology;personal_health;medical_trials;json;sus1;sus2;sus3;sus4;sus5;sus6;sus7;sus8;sus9;sus10;trial_in_mind;why_not;like;improve
3.9.2021 7:59:00;Canada;57;Male;4;5;3;"{""outcome"":{""id"":""8c8cf6b3-eac6-49d9-a67d-336b5f7eac01"",""outcome"":""build up muscle""},""type"":""introductionWithdrawal"",""interventionA"":{""type"":""intervention"",""id"":""67d2f8c7-3327-42c8-8abb-824a56184685"",""name"":""isometric exercise everyday for at least 30 minutes"",""description"":null,""instructions"":""stretching 5 mins\npull ups 5 minutes\npush up 5 minutes\nabs 5 minutes\nbullworker exercise 10 minutes\n"",""letter"":""a"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T07:00:00.000""]}},""interventionB"":null,""a"":{""name"":""Without \""isometric exercise everyday for at least 30 minutes\"""",""letter"":""a""},""b"":{""name"":""isometric exercise everyday for at least 30 minutes"",""letter"":""b"",""intervention"":{""type"":""intervention"",""id"":""67d2f8c7-3327-42c8-8abb-824a56184685"",""name"":""isometric exercise everyday for at least 30 minutes"",""description"":null,""instructions"":""stretching 5 mins\npull ups 5 minutes\npush up 5 minutes\nabs 5 minutes\nbullworker exercise 10 minutes\n"",""letter"":""a"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T07:00:00.000""]}}},""measures"":[{""id"":""2"",""type"":""automatic"",""name"":""Weight"",""description"":null,""aggregation"":""Average"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T07:30:00.000""]},""trackedHealthDataTypeName"":""HealthDataType.WEIGHT""}],""schedule"":{""phaseOrder"":""alternating"",""phaseDuration"":7,""phaseSequence"":[""a"",""b"",""a"",""b""],""numberOfCycles"":2},""startDate"":""2021-03-09T00:00:00.000"",""stepsLogForSurvey"":{""2021-03-09T01:42:56.596"":""opened app"",""2021-03-09T01:43:26.756"":""complete onboarding"",""2021-03-09T01:49:06.599"":""finish editing details"",""2021-03-09T01:49:52.881"":""finish viewing setup"",""2021-03-09T01:51:03.035"":""finish viewing setup"",""2021-03-09T01:51:58.508"":""opened app"",""2021-03-09T01:52:03.331"":""finish editing details"",""2021-03-09T01:52:05.742"":""finish viewing setup"",""2021-03-09T01:53:21.537066"":""opened app"",""2021-03-09T01:53:26.534674"":""finish editing details"",""2021-03-09T01:53:29.661878"":""finish viewing setup"",""2021-03-09T01:53:31.656065"":""start trial""}}";4;2;3;2;4;2;5;2;3;1;Yes;;"Flexibility to create your own ""goal""";Clarity  e.g.: I do not understand what does it means by alternatives and counterbalance
3.19.2021 18:15:18;Canada;56;Female;3;5;1;"{""outcome"":{""id"":""456e4fd1-de6d-4b55-bd04-ee4f4be7e3e1"",""outcome"":""Sleep better""},""type"":""alternativeTreatment"",""interventionA"":{""id"":""118a0e98-5281-4047-b8ab-c6bb54bab4a3"",""name"":""Meditation"",""instructions"":""Meditate for 15min"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T22:30:00.000""]}},""interventionB"":{""id"":""drink_tea"",""name"":""Tea"",""instructions"":""Drink one cup of tea"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T22:00:00.000""]}},""a"":{""type"":""intervention"",""name"":""Meditation"",""letter"":""a""},""b"":{""type"":""intervention"",""name"":""Tea"",""letter"":""b""},""measures"":[{""id"":""0864babb-0216-4e59-b8c5-a5ba49beaf33"",""type"":""scale"",""name"":""Energy level"",""unit"":null,""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T08:00:00.000""]},""min"":0.0,""minLabel"":""0"",""max"":10.0,""maxLabel"":""10"",""initial"":null}],""schedule"":{""phaseOrder"":""alternating"",""phaseDuration"":7,""phaseSequence"":[""a"",""b"",""a"",""b""],""numberOfCycles"":2},""startDate"":""2021-03-19T00:00:00.000"",""stepsLogForSurvey"":{""2021-03-19T12:44:24.930463"":""opened app"",""2021-03-19T12:47:43.608522"":""complete onboarding"",""2021-03-19T12:57:57.623444"":""finish editing details"",""2021-03-19T12:59:17.689298"":""finish editing details"",""2021-03-19T13:02:24.598849"":""finish editing details"",""2021-03-19T13:02:30.427831"":""finish viewing setup"",""2021-03-19T13:03:06.377010"":""start trial""}}";5;2;4;3;4;1;4;2;4;4;Yes;;It allows me to experiment more than one way to reach my goal and the reminder. ;The page before the schedule is confusing. I thought I was going to do a combination of two experiments and not comparing them. Once I saw the schedule page, it was clear. 
3.19.2021 18:57:38;Germany;24;Female;4;5;5;"{""outcome"":{""id"":""back_pain"",""outcome"":""Reduce Back Pain""},""type"":""introductionWithdrawal"",""interventionA"":{""id"":""meditate"",""name"":""Meditation"",""instructions"":""Meditate for 15min"",""schedule"":{""frequency"":2,""timestamps"":[""2000-01-01T14:30:00.000""]}},""interventionB"":null,""a"":{""type"":""withdrawal"",""name"":""Without \""Meditation\"""",""letter"":""a""},""b"":{""type"":""intervention"",""name"":""Meditation"",""letter"":""b""},""measures"":[{""id"":""0"",""type"":""scale"",""name"":""Pain"",""unit"":null,""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T20:30:00.000""]},""min"":0.0,""minLabel"":""No pain"",""max"":10.0,""maxLabel"":""Worst possible pain"",""initial"":null}],""schedule"":{""phaseOrder"":""alternating"",""phaseDuration"":7,""phaseSequence"":[""a"",""b"",""a"",""b""],""numberOfCycles"":2},""startDate"":""2021-03-19T00:00:00.000"",""stepsLogForSurvey"":{""2021-03-19T18:49:32.394479"":""opened app"",""2021-03-19T18:51:35.594452"":""complete onboarding"",""2021-03-19T18:54:01.579553"":""finish editing details"",""2021-03-19T18:54:20.758007"":""finish viewing setup"",""2021-03-19T18:54:29.402854"":""start trial""}}";5;2;4;1;4;1;4;4;4;1;Yes;;Planned Experiment and Tracking, various options, adjustable to own needs;Design aspects
3.20.2021 16:46:00;Germany;28;Male;3;4;5;"{""outcome"":{""id"":""a224b4f1-81fc-4aff-8aeb-ea95f64bc326"",""outcome"":""Increase quality of sleep""},""type"":""introductionWithdrawal"",""interventionA"":{""id"":""07e6c1dd-4bdc-4461-8059-0db1e7b36b8b"",""name"":""Eat dinner before 7pm"",""instructions"":""Make sure to not eat anything after 7pm"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T12:00:00.000""]}},""interventionB"":null,""a"":{""type"":""withdrawal"",""name"":""Without \""Eat dinner before 7pm\"""",""letter"":""a""},""b"":{""type"":""intervention"",""name"":""Eat dinner before 7pm"",""letter"":""b""},""measures"":[{""id"":""c7d3f361-d4ab-4878-aa3f-b0228a80e74c"",""type"":""keyboard"",""name"":""Sleep quality index"",""unit"":""points"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T10:00:00.000""]}}],""schedule"":{""phaseOrder"":""alternating"",""phaseDuration"":7,""phaseSequence"":[""a"",""b"",""a"",""b""],""numberOfCycles"":2},""startDate"":""2021-03-20T00:00:00.000"",""stepsLogForSurvey"":{""2021-03-20T16:29:35.468"":""opened app"",""2021-03-20T16:31:52.486123"":""opened app"",""2021-03-20T16:33:14.182244"":""complete onboarding"",""2021-03-20T16:38:41.730727"":""finish editing details"",""2021-03-20T16:39:01.630502"":""finish viewing setup"",""2021-03-20T16:39:14.789984"":""start trial""}}";4;1;5;1;5;1;4;1;4;2;Yes;;It's very flexible and userfriendly;"- I would have liked to see some short sentences about data usage/privacy explaining where the data are stored and for which purposes can be used and by who
- I am not 100% sure that the outcome collection is set up in a way that is temporarily consistent with the treatment schedule. For example, I wanted to do an experiment in which the exposure is dinner time and the outcome is a sleep quality index. Of course the outcome needs to be recorded after the sleep, therefore the subsequent morning. I am not 100% sure I managed to set this up since the app asks me to enter my sleep index (because I used 10 am as time for outcome collection) but clearly the exposure did not happen yet. "
3.30.2021 20:47:16;Germany;30;Male;3;5;3;"{""outcome"":{""id"":""rheumathoid_arthritis"",""outcome"":""Treat Rheumathoid Arthritis""},""type"":""alternativeTreatment"",""interventionA"":{""id"":""drink_tea"",""name"":""Tea"",""instructions"":""Drink one cup of tea"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T20:00:00.000""]}},""interventionB"":{""id"":""olive_oil"",""name"":""Olive oil massage"",""instructions"":""Massage your painful joints with olive oil for 15 minutes."",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T06:00:00.000""]}},""a"":{""type"":""intervention"",""name"":""Tea"",""letter"":""a""},""b"":{""type"":""intervention"",""name"":""Olive oil massage"",""letter"":""b""},""measures"":[{""id"":""2"",""type"":""keyboard"",""name"":""Weight"",""unit"":""kg"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T20:00:00.000""]}}],""schedule"":{""phaseOrder"":""alternating"",""phaseDuration"":7,""phaseSequence"":[""a"",""b"",""a"",""b""],""numberOfCycles"":2},""startDate"":""2021-03-30T00:00:00.000"",""stepsLogForSurvey"":{""2021-03-30T20:33:03.696"":""opened app"",""2021-03-30T20:33:36.097"":""complete onboarding"",""2021-03-30T20:33:53.457528"":""opened app"",""2021-03-30T20:35:17.679529"":""finish editing details"",""2021-03-30T20:35:20.166984"":""finish viewing setup"",""2021-03-30T20:35:22.315548"":""start trial""}}";2;4;3;1;4;2;3;3;3;1;No;;Possibility to create my own trial.;I think there were too many questions in the beginning, which might make users loose focus. Maybe you could design the app a little bit more like a game?
4.7.2021 13:26:54;Germany;30;Male;5;5;4;"{""outcome"":{""id"":""4d50c994-fe43-40b5-99c2-7666bcfcf5b2"",""outcome"":""sleep better""},""type"":""alternativeTreatment"",""interventionA"":{""id"":""meditate"",""name"":""Meditation"",""instructions"":""Meditate for 15min"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T22:00:00.000""]}},""interventionB"":{""id"":""drink_tea"",""name"":""Tea"",""instructions"":""Drink one cup of tea"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T18:00:00.000""]}},""a"":{""type"":""intervention"",""name"":""Meditation"",""letter"":""a""},""b"":{""type"":""intervention"",""name"":""Tea"",""letter"":""b""},""measures"":[{""id"":""1"",""type"":""list"",""name"":""Mood"",""unit"":null,""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T12:00:00.000""]},""items"":[{""value"":""😫""},{""value"":""🙁""},{""value"":""😐""},{""value"":""🙂""},{""value"":""😃""}]}],""schedule"":{""phaseOrder"":""alternating"",""phaseDuration"":7,""phaseSequence"":[""a"",""b"",""a"",""b""],""numberOfCycles"":2},""startDate"":""2021-04-07T00:00:00.000"",""stepsLogForSurvey"":{""2021-04-07T13:12:56.872"":""opened app"",""2021-04-07T13:13:18.487"":""complete onboarding"",""2021-04-07T13:14:51.557"":""finish editing details"",""2021-04-07T13:14:57.269"":""finish viewing setup"",""2021-04-07T13:15:03.850"":""start trial"",""2021-04-07T13:20:05.381"":""finish editing details"",""2021-04-07T13:20:06.724"":""finish viewing setup"",""2021-04-07T13:20:08.151"":""start trial"",""2021-04-07T13:22:40.078"":""opened app"",""2021-04-07T13:22:53.254491"":""opened app"",""2021-04-07T13:22:54.870015"":""finish editing details"",""2021-04-07T13:22:55.946229"":""finish viewing setup"",""2021-04-07T13:22:56.739062"":""start trial""}}";4;1;4;1;4;2;5;1;5;1;Yes;;Good defaults;The relationship between my goal and the collected data is not clear. I would rather put these 2 in one step, e.g., I would like to sleep better such that my mood improves.
4.8.2021 18:53:13;Germany;27;Male;5;4;3;"{""outcome"":{""id"":""1afb4df4-2065-4e43-8fab-942035e0e845"",""outcome"":""reduce perceived stress""},""type"":""alternativeTreatment"",""interventionA"":{""id"":""11a1d9d5-57c6-45bf-99a9-2b24d9753b65"",""name"":""consume caffeine"",""instructions"":""drink a cup of coffee ☕"",""schedule"":{""frequency"":5,""timestamps"":rage:""2000-01-01T09:00:00.000"",""2000-01-01T13:00:00.000"",""2000-01-01T17:00:00.000""]}},""interventionB"":{""id"":""0e6786f9-0dd1-41f7-886f-a20004302823"",""name"":""not consume caffeine"",""instructions"":""do not drink coffee :no_entry_sign:"",""schedule"":{""frequency"":1,""timestamps"":rage:""2000-01-01T09:00:00.000""]}},""a"":{""type"":""intervention"",""name"":""consume caffeine"",""letter"":""a""},""b"":{""type"":""intervention"",""name"":""not consume caffeine"",""letter"":""b""},""measures"":rage:{""id"":""1"",""type"":""list"",""name"":""Mood"",""unit"":null,""schedule"":{""frequency"":1,""timestamps"":rage:""2000-01-01T09:00:00.000"",""2000-01-01T18:00:00.000""]},""items"":rage:{""value"":"":tired_face:""},{""value"":"":slightly_frowning_face:""},{""value"":"":neutral_face:""},{""value"":"":slightly_smiling_face:""},{""value"":"":smiley:""}]},{""id"":""3"",""type"":""keyboard"",""name"":""Heart Rate"",""unit"":""bpm"",""schedule"":{""frequency"":1,""timestamps"":rage:""2000-01-01T09:00:00.000"",""2000-01-01T18:00:00.000""]}}],""schedule"":{""phaseOrder"":""alternating"",""phaseDuration"":2,""phaseSequence"":rage:""a"",""b""],""numberOfCycles"":1},""startDate"":""2021-04-08T00:00:00.000"",""stepsLogForSurvey"":{""2021-04-08T18:41:28.353564"":""opened app"",""2021-04-08T18:42:58.370854"":""complete onboarding"",""2021-04-08T18:48:23.121497"":""finish editing details"",""2021-04-08T18:48:33.893880"":""finish viewing setup"",""2021-04-08T18:49:20.071366"":""start trial""}}";4;1;5;2;5;1;5;2;5;3;No;Would like to prompt other questionnaires (e.g. Affective Slider);guided setup process for the study;give more explanation on the implications if I change settings (e.g. less days mean xyz...)
4.13.2021 10:29:26;Germany;35;Male;5;5;4;"{""outcome"":{""id"":""irritable_bowel_syndrome"",""outcome"":""Treat Irritable Bowel Syndrome""},""type"":""alternativeTreatment"",""interventionA"":{""id"":""drink_tea"",""name"":""Tea"",""instructions"":""Drink one cup of tea"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T12:30:00.000"",""2000-01-01T16:00:00.000""]}},""interventionB"":{""id"":""meditate"",""name"":""Meditation"",""instructions"":""Meditate for 15min"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T16:00:00.000""]}},""a"":{""type"":""intervention"",""name"":""Tea"",""letter"":""a""},""b"":{""type"":""intervention"",""name"":""Meditation"",""letter"":""b""},""measures"":[{""id"":""0"",""type"":""scale"",""name"":""Pain"",""unit"":null,""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T16:23:00.000"",""2000-01-01T20:00:00.000""]},""min"":0.0,""minLabel"":""No pain"",""max"":10.0,""maxLabel"":""Worst possible pain"",""initial"":null}],""schedule"":{""phaseOrder"":""alternating"",""phaseDuration"":7,""phaseSequence"":[""a"",""b"",""a"",""b""],""numberOfCycles"":2},""startDate"":""2021-04-13T00:00:00.000"",""stepsLogForSurvey"":{""2021-04-12T21:01:22.036154"":""opened app"",""2021-04-13T16:15:56.959471"":""complete onboarding"",""2021-04-13T16:19:31.790887"":""finish editing details"",""2021-04-13T16:19:42.172153"":""finish viewing setup"",""2021-04-13T16:19:56.447523"":""start trial""}}";4;1;4;1;4;1;3;1;3;1;Yes;;Great job! I liked a lot the structured approach in the app, its easy to follow and professional-looking.;I would like to have some more layout elements, a bit more visual, with icons, etc. But this is mostly cosmetic. Also, an explanation in the begining of what and AB Testing is, etc. would have been nicer, e.g. including a small video, etc.
4.13.2021 13:39:36;Germany;33;Female;4;4;4;"""outcome"":{""id"":""back_pain"",""outcome"":""Reduce Back Pain""},""type"":""alternativeTreatment"",""interventionA"":{""id"":""meditate"",""name"":""Meditation"",""instructions"":""Meditate for 15min"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T07:00:00.000""]}},""interventionB"":{""id"":""go_for_walk"",""name"":""Short walk"",""instructions"":""Go for a 30min walk"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T08:00:00.000""]}},""a"":{""type"":""intervention"",""name"":""Meditation"",""letter"":""a""},""b"":{""type"":""intervention"",""name"":""Short walk"",""letter"":""b""},""measures"":[{""id"":""1"",""type"":""list"",""name"":""Mood"",""unit"":null,""schedule"":{""frequency"":2,""timestamps"":[""2000-01-01T13:00:00.000""]},""items"":[{""value"":""😫""},{""value"":""🙁""},{""value"":""😐""},{""value"":""🙂""},{""value"":""😃""}]}],""schedule"":{""phaseOrder"":""alternating"",""phaseDuration"":7,""phaseSequence"":[""a"",""b"",""a"",""b""],""numberOfCycles"":2},""startDate"":""2021-04-13T00:00:00.000"",""stepsLogForSurvey"":{""2021-04-13T13:30:46.116848"":""opened app"",""2021-04-13T13:31:14.424718"":""complete onboarding"",""2021-04-13T13:32:50.612198"":""finish editing details"",""2021-04-13T13:32:56.493278"":""finish viewing setup"",""2021-04-13T13:33:03.512233"":""start trial""}}";5;1;5;1;5;1;5;1;5;1;Yes;;It was extremely clean, fast, easy and straight-forward to use.;I guess this is more for the future, but I was curious to see how I would see the results of the experiments. Also, some explanation on how the results would be calculated. It would be nice to know what comparison is being done (especially to make me more motivated). Also, suggestions of certain interventions/parameters to measure depending on the intervention (I guess you did this in a certain level). Maybe also being able to do the intervention together with a friend/family member?
4.14.2021 9:47:45;Germany;37;Male;4;3;3;"{""outcome"":{""id"":""0ebc752d-e3af-4ece-8bca-23eb4eba7483"",""outcome"":""Loose weight""},""type"":""introductionWithdrawal"",""interventionA"":{""id"":""423e9049-58ee-46d7-8b3f-d5a5a600887f"",""name"":""Eat less sugar"",""instructions"":""Put one sugar cube less in each tea, coffee, ..."",""schedule"":{""frequency"":2,""timestamps"":[""2000-01-01T09:00:00.000""]}},""interventionB"":null,""a"":{""type"":""withdrawal"",""name"":""Without \""Eat less sugar\"""",""letter"":""a""},""b"":{""type"":""intervention"",""name"":""Eat less sugar"",""letter"":""b""},""measures"":[{""id"":""2"",""type"":""keyboard"",""name"":""Weight"",""unit"":""kg"",""schedule"":{""frequency"":1,""timestamps"":[""2000-01-01T09:00:00.000""]}}],""schedule"":{""phaseOrder"":""alternating"",""phaseDuration"":7,""phaseSequence"":[""a"",""b"",""a"",""b""],""numberOfCycles"":2},""startDate"":""2021-04-14T00:00:00.000"",""stepsLogForSurvey"":{""2021-04-14T09:34:31.241199"":""opened app"",""2021-04-14T09:36:52.215796"":""complete onboarding"",""2021-04-14T09:39:48.962790"":""finish editing details"",""2021-04-14T09:40:14.558786"":""finish viewing setup"",""2021-04-14T09:40:22.168127"":""start trial""}}";3;1;1;1;4;1;5;1;4;1;Yes;;To create your own experiment;More information on what a study is since it is for the broad majority. I would include information on each point like the what is experiment B with an example
